Prefix	DIV	BioProject	BioSample	Organism	# of Contigs	Total length of Contigs, b	Has annotated Contigs	# of Scaffolds	Scaffolds range	Has annotated Scaffolds	# of Proteins	Genome range	Update date	Create date	Status
JOFQ01	BCT	PRJNA238534	SAMN02645268	STREPTOMYCES NIGER	108	8485418	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOGI01	BCT	PRJNA238534	SAMN02645451	STREPTOMYCES SP. NRRL F-5848	2557	6564259	no	196	KL588481:KL588676	no	0		2014-07-03 00:00:00	2014-07-01 00:00:00	1
JOGV01	BCT	PRJNA238534	SAMN02645464	STREPTOMYCES SP. NRRL F-5650	215	8346799	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOHA01	BCT	PRJNA238534	SAMN02645469	STREPTOMYCES SP. NRRL F-5681	81	7821598	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JODN01	BCT	PRJNA238534	SAMN02645211	STREPTOMYCES RUBER	432	9594095	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOEA01	BCT	PRJNA238534	SAMN02645224	LENTZEA ALBIDOCAPILLATA	127	8642480	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOEN01	BCT	PRJNA238534	SAMN02645239	STREPTOMYCES GRISEUS SUBSP. GRISEUS	174	7428938	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOEZ01	BCT	PRJNA238534	SAMN02645251	STREPTOMYCES ANULATUS	167	8402354	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOFE01	BCT	PRJNA238534	SAMN02645256	STREPTOMYCES GRISEUS SUBSP. RHODOCHROUS	67	8030720	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOAU01	BCT	PRJNA238534	SAMN02645375	STREPTOMYCES BIKINIENSIS	126	7389938	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOBR01	BCT	PRJNA238534	SAMN02645398	STREPTOMYCES GRISEUS SUBSP. GRISEUS	166	8329687	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOCH01	BCT	PRJNA238534	SAMN02645414	STREPTOMYCES SP. NRRL WC-3703	187	9588181	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JNYH01	BCT	PRJNA238534	SAMN02645308	KUTZNERIA ALBIDA	2234	9645674	no	0	KL570440:KL570778	no	0		2014-07-01 00:00:00	2014-07-01 00:00:00	1
JNZR01	BCT	PRJNA238534	SAMN02645346	MICROMONOSPORA GLOBOSA	121	6862505	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOAA01	BCT	PRJNA238534	SAMN02645355	RHODOCOCCUS RHODNII	182	12418284	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JNWT01	BCT	PRJNA238534	SAMN02645198	STREPTOMYCES GRAMINIS	334	7867602	no	0		no	0		2014-07-01 00:00:00	2014-07-01 00:00:00	1
JOWW01	BCT	PRJNA245909	SAMN02741478	LISTERIA MONOCYTOGENES	25	3097471	yes	0		no	3025		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JORP01	BCT	PRJNA233803	SAMN02680229	ESCHERICHIA COLI 6-537-08_S3_C1	97	5168278	yes	0		no	5043		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JORY01	BCT	PRJNA233815	SAMN02680151	ESCHERICHIA COLI 7-233-03_S3_C2	204	5260199	yes	0		no	5405		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JOSA01	BCT	PRJNA233846	SAMN02680259	ESCHERICHIA COLI 8-415-05_S3_C3	152	5306490	yes	0		no	5288		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JOSB01	BCT	PRJNA233788	SAMN02687469	ESCHERICHIA COLI 8-415-05_S3_C1	154	5340365	yes	0		no	5303		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JOSH01	BCT	PRJNA233932	SAMN02689031	ESCHERICHIA COLI 1-392-07_S4_C3	267	5806227	yes	0		no	6089		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JOSM01	BCT	PRJNA233780	SAMN02689034	ESCHERICHIA COLI 2-222-05_S3_C1	268	5479272	yes	0		no	5656		2014-06-27 00:00:00	2014-06-27 00:00:00	1
JOSW01	BCT	PRJNA248653	SAMN02869563	LACTOBACILLUS REUTERI	24	1944170	yes	0		no	1597		2014-06-26 00:00:00	2014-06-26 00:00:00	1
JOMS01	BCT	PRJNA233746	SAMN02680203	ESCHERICHIA COLI 6-175-07_S1_C2	145	5311542	yes	0		no	5348		2014-06-24 00:00:00	2014-06-24 00:00:00	1
JNKG01	BCT	PRJNA223453	SAMN02841220	PREVOTELLA SP. RM4	16	3350615	no	1	KL370843:KL370843	no	0		2014-06-11 00:00:00	2014-06-11 00:00:00	1
JOHU01	BCT	PRJNA238534	SAMN02645489	STREPTOMYCES SP. NRRL S-1314	169	7489829	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOJM01	BCT	PRJNA238534	SAMN02645333	STREPTOMYCES SP. NRRL B-1347	362	10230785	no	0		no	0		2014-07-02 00:00:00	2014-07-02 00:00:00	1
JOZS01	BCT	PRJNA245909	SAMN02741553	LISTERIA MONOCYTOGENES	23	3125191	yes	0		no	3018		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOYV01	BCT	PRJNA245909	SAMN02741530	LISTERIA MONOCYTOGENES	21	3118437	yes	0		no	3034		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOYY01	BCT	PRJNA245909	SAMN02741533	LISTERIA MONOCYTOGENES	22	3126567	yes	0		no	3019		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOXK01	BCT	PRJNA245909	SAMN02741493	LISTERIA MONOCYTOGENES	20	3094817	yes	0		no	2986		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOXN01	BCT	PRJNA245909	SAMN02741496	LISTERIA MONOCYTOGENES	24	3063399	yes	0		no	2950		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOVM01	BCT	PRJNA244355	SAMN02872852	SERRATIA MARCESCENS	4	5131448	yes	2	KN050642:KN050643	no	4724		2014-10-22 00:00:00	2014-08-25 00:00:00	1
JOWR01	BCT	PRJNA245909	SAMN02741472	LISTERIA MONOCYTOGENES	32	3057491	yes	0		no	2955		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JOWT01	BCT	PRJNA245909	SAMN02741474	LISTERIA MONOCYTOGENES	87	3121023	yes	0		no	3020		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JUDN01	BCT	PRJNA266657	SAMN03177619	ESCHERICHIA COLI	344	5604162	yes	0		no	5619		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUEB01	BCT	PRJNA257561	SAMN02953213	PEPTOCOCCACEAE BACTERIUM BICA1-7	33	4745667	no	0		no	0		2015-01-26 00:00:00	2014-12-16 00:00:00	1
JUEK01	BCT	PRJNA261381	SAMN03072879	ENTEROCOCCUS FAECIUM	108	2521411	no	0		no	0		2014-12-18 00:00:00	2014-12-18 00:00:00	1
JUEN01	BCT	PRJNA257723	SAMN03083479	MARINE ACTINOBACTERIUM MEDACIDI-G2A	48	1374394	yes	0		no	1146		2015-02-25 00:00:00	2015-01-09 00:00:00	1
JTAG01	BCT	PRJNA264742	SAMN03165131	BACILLUS ANTHRACIS	63	5499560	yes	0		no	5593		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JUCJ01	BCT	PRJNA266657	SAMN03177665	ESCHERICHIA COLI	89	5006454	yes	0		no	4864		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JTZE01	BCT	PRJNA264310	SAMN03105427	PSEUDOMONAS AERUGINOSA	75	6788523	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTZF01	BCT	PRJNA264310	SAMN03105426	PSEUDOMONAS AERUGINOSA	153	6795623	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTZL01	BCT	PRJNA264310	SAMN03105420	PSEUDOMONAS AERUGINOSA	168	7373661	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTZS01	BCT	PRJNA264310	SAMN03105413	PSEUDOMONAS AERUGINOSA	119	6331130	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JUAP01	BCT	PRJNA264310	SAMN03105390	PSEUDOMONAS AERUGINOSA	114	6522044	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTWF01	BCT	PRJNA264310	SAMN03105504	PSEUDOMONAS AERUGINOSA	248	7362494	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JOKH01	BCT	PRJNA252578	SAMN02851612	ENDOZOICOMONAS NUMAZUENSIS	31	6342227	yes	0		no	4464		2014-08-19 00:00:00	2014-07-07 00:00:00	1
JPGT01	BCT	PRJNA254180	SAMN02900563	KLEBSIELLA PNEUMONIAE	181	5537366	yes	0		no	5230		2014-08-08 00:00:00	2014-08-08 00:00:00	1
JPHD02	BCT	PRJNA252656	SAMN02854335	XANTHOMONAS AXONOPODIS PV. VASCULORUM	206	4779570	yes	52	KN173625:KN173676	no	3545		2014-10-14 00:00:00	2014-09-25 00:00:00	1
JPIJ02	PLN	PRJNA254396	SAMN02903337	TOLYPOCLADIUM SP. SALCHA MEA-2	44	30832988	no	0		no	0		2015-03-03 00:00:00	2015-03-02 00:00:00	1
JPEI01	INV	PRJNA246086	SAMN02743262	LOA LOA	2250	96405388	no	0		no	0		2014-07-25 00:00:00	2014-07-25 00:00:00	1
JPEN01	BCT	PRJNA251999	SAMN02848449	STREPTOCOCCUS SINENSIS	116	2061843	yes	0		no	1992		2014-10-22 00:00:00	2014-10-22 00:00:00	1
JPFQ01	BCT	PRJNA214551	SAMN02899231	MYCOBACTERIUM BOVIS	69	4328889	yes	0		no	3892		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JPGC01	BCT	PRJNA245446	SAMN02737436	STREPTOCOCCUS EQUINUS	8	1846241	yes	0		no	1698		2015-01-15 00:00:00	2014-07-18 00:00:00	1
JPCR01	BCT	PRJNA245909	SAMN02741644	LISTERIA MONOCYTOGENES	16	2986354	yes	0		no	2910		2014-07-15 00:00:00	2014-07-15 00:00:00	1
JPUZ01	BCT	PRJNA231188	SAMN02948389	BURKHOLDERIA PSEUDOMALLEI MSHR4003	5	7244536	yes	2	KN323010:KN323011	no	5904		2015-02-24 00:00:00	2014-11-11 00:00:00	1
JPVP01	BCT	PRJNA239542	SAMN02953199	LYSINIBACILLUS ODYSSEYI 34HS-1 = NBRC 100172	60	4512819	yes	0		no	4109		2014-11-06 00:00:00	2014-11-06 00:00:00	1
JPTV01	MAM	PRJNA20331	SAMN01943338	MANIS PENTADACTYLA	230930	1999057008	no	34329	KN005617:KN039945	no	0		2014-08-11 00:00:00	2014-08-07 00:00:00	1
JPOV01	BCT	PRJNA255947	SAMN02934115	STREPTOCOCCUS AGALACTIAE	8	2173783	no	0		no	0		2014-09-17 00:00:00	2014-07-30 00:00:00	1
JPNR01	BCT	PRJNA244400	SAMN02849566	BURKHOLDERIA PSEUDOMALLEI	232	7297941	yes	2	KN150926:KN150927	no	6473		2014-12-01 00:00:00	2014-09-23 00:00:00	1
JPNS01	BCT	PRJNA244403	SAMN02849693	BURKHOLDERIA PSEUDOMALLEI	4	7198519	yes	2	KN150928:KN150929	no	5884		2014-12-01 00:00:00	2014-09-23 00:00:00	1
JPNX02	BCT	PRJNA244056	SAMN02900561	BURKHOLDERIA MALLEI	1	5869855	yes	0		no	5043		2015-02-25 00:00:00	2015-02-25 00:00:00	1
JPOJ01	BCT	PRJNA239499	SAMN02745538	METHYLOMICROBIUM AGILE	4	4526071	no	0		no	0		2014-07-24 00:00:00	2014-07-24 00:00:00	1
JOKD01	BCT	PRJNA248988	SAMN02808312	HALOMONAS SALINA	86	3358440	yes	0		no	2897		2015-01-29 00:00:00	2014-09-25 00:00:00	1
JQEW01	BCT	PRJNA214551	SAMN02902645	MYCOBACTERIUM BOVIS	85	4301774	yes	0		no	3978		2014-09-08 00:00:00	2014-09-08 00:00:00	1
JQFB01	BCT	PRJNA257951	SAMN02980946	ESCHERICHIA COLI K1	3336	4802253	no	0		no	0		2014-08-21 00:00:00	2014-08-21 00:00:00	1
JQFC01	BCT	PRJNA257953	SAMN02980947	ESCHERICHIA COLI K1	844	5179863	no	0		no	0		2014-08-21 00:00:00	2014-08-21 00:00:00	1
JQDH01	BCT	PRJNA231068	SAMN02997401	BURKHOLDERIA PSEUDOMALLEI MSHR7498	167	7137886	yes	0		no	6149		2015-02-24 00:00:00	2014-11-07 00:00:00	1
JPVQ01	BCT	PRJNA239540	SAMN02953200	LYSINIBACILLUS MASSILIENSIS 4400831 = CIP 108448 = CCUG 49529	156	3999909	yes	0		no	3499		2014-11-06 00:00:00	2014-11-06 00:00:00	1
JPXC01	BCT	PRJNA257764	SAMN02978810	HELICOBACTER PYLORI	11	1609835	yes	0		no	1420		2014-08-14 00:00:00	2014-08-14 00:00:00	1
JPXO01	BCT	PRJNA217951	SAMN02900751	GALLIBACTERIUM ANATIS	108	2611151	yes	0		no	2322		2014-11-04 00:00:00	2014-11-04 00:00:00	1
JPUC01	BCT	PRJNA255706	SAMN02928168	LEPTOSPIRA BORGPETERSENII SEROVAR BALLUM	212	3887643	yes	0		no	3341		2014-09-25 00:00:00	2014-09-25 00:00:00	1
JPUU01	BCT	PRJNA252850	SAMN02951668	ESCHERICHIA COLI	319	4965333	yes	0		no	4565		2015-01-30 00:00:00	2014-10-30 00:00:00	1
JPLY01	BCT	PRJNA255518	SAMN02924066	EPILITHONIMONAS LACTIS	22	4236390	yes	0		no	3617		2014-07-28 00:00:00	2014-07-28 00:00:00	1
JQKR01	BCT	PRJNA223015	SAMN02744713	PREVOTELLA SP. FD3004	16	2955081	no	2	KN050819:KN050820	no	0		2014-08-28 00:00:00	2014-08-28 00:00:00	1
JQLN01	BCT	PRJNA234781	SAMN02745411	KITASATOSPORA MEDIOCIDICA KCTC 9733	7	8681761	no	0		no	0		2014-08-28 00:00:00	2014-08-28 00:00:00	1
JQIO01	PLN	PRJNA258025	SAMN02982874	ARACHIS IPAENSIS	997	1349014219	no	469	CM003054:CM003063,KN715432:KN715890	no	0		2015-01-16 00:00:00	2014-12-11 00:00:00	1
JQHR01	BCT	PRJNA231458	SAMN02998017	BURKHOLDERIA PSEUDOMALLEI A79D	165	7165130	yes	0		no	6321		2015-02-24 00:00:00	2014-11-12 00:00:00	1
JQHV01	BCT	PRJNA231530	SAMN02998029	BURKHOLDERIA PSEUDOMALLEI MSHR2990	56	7516686	yes	4	KN323050:KN323053	no	6370		2015-02-24 00:00:00	2014-11-11 00:00:00	1
JQFP01	BCT	PRJNA231858	SAMN02999501	BURKHOLDERIA PSEUDOMALLEI MSHR640	42	7200839	yes	1	KN323067:KN323067	no	5971		2015-02-24 00:00:00	2014-11-11 00:00:00	1
JQDS01	BCT	PRJNA258253	SAMN02990648	VIBRIO VULNIFICUS	412	5281312	yes	0		no	4584		2015-02-03 00:00:00	2014-08-22 00:00:00	1
JRBL01	BCT	PRJNA170562	SAMN01816358	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR BAREILLY STR. CFSAN001112	110	4763517	yes	0		no	4343		2014-09-05 00:00:00	2014-09-05 00:00:00	1
JRBQ01	BCT	PRJNA170557	SAMN01816353	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR BAREILLY STR. CFSAN001099	188	4765179	yes	0		no	4351		2014-09-05 00:00:00	2014-09-05 00:00:00	1
JQOA01	BCT	PRJNA259152	SAMN03002178	SMITHELLA SP. D17	271	1635563	yes	0		no	1343		2014-10-09 00:00:00	2014-09-10 00:00:00	1
JQOD01	BCT	PRJNA259701	SAMN03010640	PECTOBACTERIUM CAROTOVORUM SUBSP. BRASILIENSE	71	4926602	yes	0		no	4226		2014-09-15 00:00:00	2014-09-15 00:00:00	1
JRAA01	BCT	PRJNA258543	SAMN02999586	SOLEMYA VELUM GILL SYMBIONT	10	2702377	yes	0		no	2716		2014-11-26 00:00:00	2014-11-26 00:00:00	1
JQNG01	BCT	PRJNA235090	SAMN02745434	CARNOBACTERIUM SP. WN1374	5	2552994	no	0		no	0		2014-08-28 00:00:00	2014-08-28 00:00:00	1
JPJN01	BCT	PRJNA217951	SAMN02900750	GALLIBACTERIUM ANATIS	101	2422046	yes	0		no	2138		2014-11-05 00:00:00	2014-11-05 00:00:00	1
JPKY01	PLN	PRJNA248608	SAMN02799700	ACREMONIUM CHRYSOGENUM ATCC 11550	541	28590524	yes	0		no	8901		2014-10-22 00:00:00	2014-08-15 00:00:00	1
JRLN01	BCT	PRJNA261490	SAMN03075188	ESCHERICHIA COLI	187	5335241	yes	0		no	5280		2015-03-05 00:00:00	2015-03-05 00:00:00	1
JRIH01	PLN	PRJNA260311	SAMN03020220	SACCHAROMYCES CEREVISIAE	451	11617205	no	0		no	0		2014-10-12 00:00:00	2014-10-12 00:00:00	1
JRIO01	PLN	PRJNA260311	SAMN03020227	SACCHAROMYCES CEREVISIAE	344	11668021	no	0		no	0		2014-10-12 00:00:00	2014-10-12 00:00:00	1
JRJY01	BCT	PRJNA205571	SAMN03021519	AEROMONAS SP. ZOR0001	170	4457373	no	0		no	0		2014-12-11 00:00:00	2014-12-11 00:00:00	1
JRKD01	BCT	PRJNA261490	SAMN03075144	ESCHERICHIA COLI	207	5348694	yes	0		no	5302		2015-03-05 00:00:00	2015-03-05 00:00:00	1
JRGL01	BCT	PRJNA260478	SAMN03023875	AEROMONAS SP. AE235	171	4582304	no	0		no	0		2014-12-01 00:00:00	2014-10-08 00:00:00	1
JRGX01	BCT	PRJNA260790	SAMN03031299	ENTEROCOCCUS FAECIUM	68	2642214	no	0		no	0		2014-11-25 00:00:00	2014-11-25 00:00:00	1
JRDA01	BCT	PRJNA159317	SAMN01816226	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR BAREILLY STR. CFSAN000225	181	4613030	yes	0		no	4227		2014-09-05 00:00:00	2014-09-05 00:00:00	1
JRDZ01	BCT	PRJNA159377	SAMN01942250	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR BAREILLY STR. CFSAN000195	274	4569050	yes	0		no	4229		2014-09-05 00:00:00	2014-09-05 00:00:00	1
JRCK01	BCT	PRJNA162829	SAMN00991058	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR BAREILLY STR. CFSAN000755	119	4690701	yes	0		no	4278		2014-09-05 00:00:00	2014-09-05 00:00:00	1
JRPH01	BCT	PRJNA261711	SAMN03075567	HELICOBACTER BILIS	467	2405707	yes	0		no	2143		2014-10-10 00:00:00	2014-10-10 00:00:00	1
JRPT01	BCT	PRJNA219649	SAMN02850950	PREVOTELLA SP. S7 MS 2	131	2797873	yes	0		no	2144		2014-10-02 00:00:00	2014-10-02 00:00:00	1
JRQF01	BCT	PRJNA262132	SAMN03081275	ESCHERICHIA COLI	762	5318618	no	0		no	0		2015-01-29 00:00:00	2014-10-23 00:00:00	1
JRNW01	INV	PRJNA259565	SAMN03083541	BACTROCERA CUCURBITAE	43001	316265640	no	2089	KN711580:KN713668	no	0		2014-12-23 00:00:00	2014-12-19 00:00:00	1
JRNZ01	BCT	PRJNA261982	SAMN03076346	BIFIDOBACTERIUM ADOLESCENTIS	145	2263462	yes	0		no	1650		2015-01-29 00:00:00	2015-01-29 00:00:00	1
JRMJ01	BCT	PRJNA260272	SAMN03071880	LEGIONELLA PNEUMOPHILA	35	3390367	no	0		no	0		2015-01-29 00:00:00	2014-11-21 00:00:00	1
JRMQ01	BCT	PRJNA261711	SAMN03074667	HELICOBACTER SP. MIT 01-6451	48	2052667	yes	0		no	1802		2015-02-03 00:00:00	2014-10-02 00:00:00	1
JRMV01	BCT	PRJNA187458	SAMN02850923	ACTINOMYCES SP. S6-SPD3	281	2091011	yes	0		no	1763		2014-09-26 00:00:00	2014-09-26 00:00:00	1
JSEZ01	BCT	PRJNA264816	SAMN03142816	XANTHOMONAS AXONOPODIS PV. PHASEOLI	215	5220563	yes	0		no	4114		2014-11-10 00:00:00	2014-11-10 00:00:00	1
JSFP01	BCT	PRJNA263121	SAMN03144576	STREPTOMYCES SP. CT34	310	8056184	no	3	KN708638:KN708640	no	0		2015-02-26 00:00:00	2014-12-19 00:00:00	1
JSFS01	BCT	PRJNA248737	SAMN02802193	ESCHERICHIA COLI	98	5310061	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSGT01	BCT	PRJNA248737	SAMN02802165	ESCHERICHIA COLI	2740	4130447	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JRZB01	BCT	PRJNA215355	SAMN02769791	LISTERIA MONOCYTOGENES	10	2867698	no	0		no	0		2015-01-29 00:00:00	2014-11-17 00:00:00	1
JRZE01	BCT	PRJNA260873	SAMN03049695	SACCHAROMONOSPORA VIRIDIS	13	4304348	yes	0		no	4117		2014-11-26 00:00:00	2014-11-26 00:00:00	1
JSAP01	BCT	PRJNA264154	SAMN03114893	STREPTOCOCCUS PHOCAE C-4	105	1659203	yes	0		no	1403		2015-01-30 00:00:00	2014-11-06 00:00:00	1
JQLS01	BCT	PRJNA225847	SAMN02744769	ROSEOVARIUS SP. MCTG156(2B)	8	5113782	no	0		no	0		2014-08-28 00:00:00	2014-08-28 00:00:00	1
JQLZ01	BCT	PRJNA247561	SAMN02787155	CAULOBACTER HENRICII	21	4980720	no	0		no	0		2014-08-28 00:00:00	2014-08-28 00:00:00	1
JRUA01	BCT	PRJNA255268	SAMN03080634	ACINETOBACTER NOSOCOMIALIS	52	3791806	no	0		no	0		2014-12-17 00:00:00	2014-12-17 00:00:00	1
JSMR01	BCT	PRJNA248737	SAMN02801974	ESCHERICHIA COLI	97	5185686	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSMS01	BCT	PRJNA248737	SAMN02801973	ESCHERICHIA COLI	61	4954236	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSNC01	BCT	PRJNA248737	SAMN02801962	ESCHERICHIA COLI	195	5302239	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSNF01	BCT	PRJNA248737	SAMN02801959	ESCHERICHIA COLI	141	5459417	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSNZ01	BCT	PRJNA248737	SAMN02801938	ESCHERICHIA COLI	84	5169665	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSOE01	BCT	PRJNA248737	SAMN02801933	ESCHERICHIA COLI	54	4650793	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSOJ01	BCT	PRJNA248737	SAMN02801928	ESCHERICHIA COLI	102	5232127	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSKE01	BCT	PRJNA248737	SAMN02802059	ESCHERICHIA COLI	97	5058743	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSKH01	BCT	PRJNA248737	SAMN02802055	ESCHERICHIA COLI	1098	771896	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSLE01	BCT	PRJNA248737	SAMN02802028	ESCHERICHIA COLI	116	5105087	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSLX01	BCT	PRJNA248737	SAMN02802004	ESCHERICHIA COLI	90	5065005	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSHJ01	BCT	PRJNA248737	SAMN02802146	ESCHERICHIA COLI	127	5142795	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSHM01	BCT	PRJNA248737	SAMN02802142	ESCHERICHIA COLI	135	5080900	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSIB01	BCT	PRJNA248737	SAMN02802123	ESCHERICHIA COLI	59	4803481	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSIV01	BCT	PRJNA248737	SAMN02802099	ESCHERICHIA COLI	86	5073686	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSRU01	BCT	PRJNA248737	SAMN02801837	ESCHERICHIA COLI	199	5313409	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSSD01	BCT	PRJNA248737	SAMN02801828	ESCHERICHIA COLI	67	5076071	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSSQ01	BCT	PRJNA248737	SAMN02801815	ESCHERICHIA COLI	118	5284295	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSQL01	BCT	PRJNA248737	SAMN02801872	ESCHERICHIA COLI	175	5296543	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSQV01	BCT	PRJNA248737	SAMN02801862	ESCHERICHIA COLI	86	5106197	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSPP01	BCT	PRJNA248737	SAMN02801894	ESCHERICHIA COLI	87	5176040	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSBM01	BCT	PRJNA264584	SAMN03135817	BURKHOLDERIA ZHEJIANGENSIS	154	7666841	no	0		no	0		2015-01-30 00:00:00	2014-11-07 00:00:00	1
JSCA01	BCT	PRJNA264718	SAMN03140188	XANTHOMONAS VASICOLA	249	4980411	yes	81	KN305951:KN306031	no	4048		2014-11-14 00:00:00	2014-11-06 00:00:00	1
JSCH01	BCT	PRJNA261018	SAMN03068188	ACINETOBACTER BAUMANNII	68	3942170	no	15	KN708033:KN708047	no	0		2014-12-19 00:00:00	2014-12-19 00:00:00	1
JSCU01	BCT	PRJNA261018	SAMN03068264	ACINETOBACTER BAUMANNII	85	3859775	no	13	KN708285:KN708297	no	0		2014-12-19 00:00:00	2014-12-19 00:00:00	1
JSYQ01	BCT	PRJNA264840	SAMN03142989	EMPEDOBACTER FALSENII	237	3713498	no	0		no	0		2014-12-19 00:00:00	2014-12-19 00:00:00	1
JSYR01	BCT	PRJNA221787	SAMN03169672	ESCHERICHIA COLI	199	4949252	no	0		no	0		2015-02-05 00:00:00	2014-12-23 00:00:00	1
JSUG01	PLN	PRJNA265458	SAMN03151584	ORYZA SATIVA JAPONICA GROUP	11572	321847860	no	687	CM003076:CM003087,KN723764:KN724438	no	0		2015-01-14 00:00:00	2015-01-12 00:00:00	1
JSWP01	BCT	PRJNA264979	SAMN03160384	VIBRIO VULNIFICUS	126	4839301	yes	0		no	3903		2015-01-28 00:00:00	2014-12-02 00:00:00	1
JSXB01	BCT	PRJNA265189	SAMN03151520	HELICOBACTER PYLORI	45	1615666	yes	0		no	1475		2015-02-26 00:00:00	2014-12-16 00:00:00	1
JSTO01	BCT	PRJNA263670	SAMN03104859	VIBRIO CHOLERAE	103	4029722	no	0		no	0		2015-01-30 00:00:00	2014-12-03 00:00:00	1
JSRF01	BCT	PRJNA248737	SAMN02801852	ESCHERICHIA COLI	94	4945984	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JSRI01	BCT	PRJNA248737	SAMN02801849	ESCHERICHIA COLI	178	4731338	no	0		no	0		2014-11-13 00:00:00	2014-11-13 00:00:00	1
JTDK01	BCT	PRJNA261100	SAMN03070121	MICROBACTERIUM MANGROVI	55	4416601	yes	0		no	3509		2014-12-16 00:00:00	2014-12-16 00:00:00	1
JTDP01	BCT	PRJNA264338	SAMN03144973	BURKHOLDERIA CEPACIA	5	8023342	yes	0		no	7278		2015-02-18 00:00:00	2015-02-18 00:00:00	1
